id,"First Name","Last Name",Email,Phone,"Clubs Name","Groups Name","Teams Name","Parent First Name","Parent Last Name"
89,teste,test,,"
0796325874",Mike," ",,teste,test
90,player,player,,"
1234567777",Mike," ",,player,player
91,player,player,,"
9632587413",Mike," ",,player,player
92,player,player,,"
9632580741",Mike," ",,player,player
93,player,player,,"
1234567890",," ",,player,player
97,player,player,,"
9632587410",," ",,player,player
98,"First Name","Last Name",Email,"
Phone",," ",,"First Name","Last Name"
99,Tokio,player,eyt@gmail.com,"
744443707",," ",,Tokio,player
100,"Number ",player,"guryry@gmail.com ","
1234567899",," ",,"Number ",player
102,player,player,,"
0666087138",," ",,player,player
103,player,player,,"
9635827410",," ",,player,player
104,player,player,,"
0101010101",," ",,player,player
105,player,player,,"
0111223344",," ",,player,player
106,player,player,,"
9988665544",," ",,player,player
107,player,player,,"
9966338855",," ",,player,player
122,player,player,,"
9856328745",," ",,player,player
123,"player A",player,,"
9855106783",," ",,"player A",player
134,player,player,,"
7508537720",," ",,player,player
135,player,player,,"
7854213690",," ",,player,player
136,Qwerty,player,,"
9781318788",," asd,",,Qwerty,player
144,id,"First Name","Last Name","
Email",," ",,id,"First Name"
145,89,teste,test,"
",," ",,89,teste
146,99,Tokio,player,"
eyt@gmail.com",," ",,99,Tokio
